TimeStep,Time,"Points:0","Points:1","Points:2"
1,1.00000e+00,3.83962e+00,2.47564e+00,3.51718e-02
1,1.00000e+00,4.36927e+00,2.46150e+00,9.22426e-02
1,1.00000e+00,4.86437e+00,2.47597e+00,2.13325e-02
1,1.00000e+00,3.01179e-01,2.54903e+00,8.02760e-02
1,1.00000e+00,7.01945e-01,2.54360e+00,4.24542e-02
1,1.00000e+00,1.24672e+00,2.52729e+00,7.70804e-02
1,1.00000e+00,1.70764e+00,2.57004e+00,8.14855e-02
1,1.00000e+00,2.27120e+00,2.56650e+00,1.74099e-03
1,1.00000e+00,2.64968e+00,2.55404e+00,8.55874e-02
1,1.00000e+00,3.10506e+00,2.59049e+00,8.83643e-02
1,1.00000e+00,3.63109e+00,2.58970e+00,7.13797e-02
1,1.00000e+00,4.12309e+00,2.58377e+00,2.94832e-02
1,1.00000e+00,4.69540e+00,2.59154e+00,4.17095e-02
1,1.00000e+00,3.35932e-02,2.66415e+00,2.64400e-02
1,1.00000e+00,5.55026e-01,2.66010e+00,2.16269e-02
1,1.00000e+00,1.09507e+00,2.62059e+00,8.56021e-02
1,1.00000e+00,1.59241e+00,2.61709e+00,8.90386e-02
1,1.00000e+00,2.07889e+00,2.63227e+00,1.73238e-02
1,1.00000e+00,2.43614e+00,2.67370e+00,6.95940e-03
1,1.00000e+00,2.97086e+00,2.67830e+00,7.10405e-03
1,1.00000e+00,3.41365e+00,2.69605e+00,7.81026e-02
1,1.00000e+00,3.92565e+00,2.67741e+00,3.87082e-02
1,1.00000e+00,4.46609e+00,2.67687e+00,5.44672e-02
1,1.00000e+00,4.80135e+00,2.60731e+00,3.31700e-02
1,1.00000e+00,3.08171e-01,2.74091e+00,7.46662e-02
1,1.00000e+00,8.64068e-01,2.72372e+00,7.97744e-02
1,1.00000e+00,1.39709e+00,2.74642e+00,6.53734e-02
1,1.00000e+00,1.83164e+00,2.75321e+00,1.69821e-02
1,1.00000e+00,2.29271e+00,2.75957e+00,3.59403e-02
1,1.00000e+00,2.79658e+00,2.72798e+00,4.07146e-02
1,1.00000e+00,3.21199e+00,2.76705e+00,5.32361e-02
1,1.00000e+00,3.73154e+00,2.72252e+00,8.93776e-02
1,1.00000e+00,4.28905e+00,2.73817e+00,8.16363e-02
1,1.00000e+00,4.67259e+00,2.79293e+00,7.04157e-02
1,1.00000e+00,1.32546e-01,2.87364e+00,1.92972e-02
1,1.00000e+00,6.63105e-01,2.88216e+00,8.14489e-02
1,1.00000e+00,1.17857e+00,2.88415e+00,4.09173e-03
1,1.00000e+00,1.69417e+00,2.84758e+00,2.10920e-03
1,1.00000e+00,2.03739e+00,2.88321e+00,6.72970e-02
1,1.00000e+00,2.58948e+00,2.83753e+00,2.32850e-03
1,1.00000e+00,3.01607e+00,2.83849e+00,8.38593e-02
1,1.00000e+00,3.54143e+00,2.84299e+00,7.75351e-02
1,1.00000e+00,4.09951e+00,2.84142e+00,5.86427e-02
1,1.00000e+00,4.44132e+00,2.89910e+00,9.79259e-02
1,1.00000e+00,4.92386e+00,2.85406e+00,4.33381e-02
1,1.00000e+00,4.82041e-01,2.93389e+00,1.58332e-02
1,1.00000e+00,9.72408e-01,2.92346e+00,7.49275e-03
1,1.00000e+00,1.41304e+00,2.90951e+00,5.62045e-02
1,1.00000e+00,1.88251e+00,2.98355e+00,8.85850e-02
1,1.00000e+00,2.34772e+00,2.95755e+00,4.88409e-03
1,1.00000e+00,2.83798e+00,2.96666e+00,1.04117e-04
1,1.00000e+00,3.35852e+00,2.94796e+00,6.76747e-02
1,1.00000e+00,3.82696e+00,2.96304e+00,6.25876e-02
1,1.00000e+00,4.21152e+00,2.95766e+00,2.66977e-02
1,1.00000e+00,4.75440e+00,2.90210e+00,9.78355e-02
1,1.00000e+00,2.19164e-01,5.62308e-02,1.47544e-01
1,1.00000e+00,7.19592e-01,3.82758e-02,1.54850e-01
1,1.00000e+00,1.26246e+00,9.40342e-02,1.05824e-01
1,1.00000e+00,1.64506e+00,2.60441e-02,1.10501e-01
1,1.00000e+00,2.13107e+00,6.75242e-02,1.43691e-01
1,1.00000e+00,2.65389e+00,7.57565e-04,1.77038e-01
1,1.00000e+00,3.15435e+00,8.16555e-02,1.82273e-01
1,1.00000e+00,3.62852e+00,3.29081e-02,1.85449e-01
1,1.00000e+00,4.06435e+00,9.20958e-02,1.16284e-01
1,1.00000e+00,4.54316e+00,7.59742e-02,1.48827e-01
1,1.00000e+00,6.52804e-02,1.47065e-01,1.33659e-01
1,1.00000e+00,5.57149e-01,1.99207e-01,1.96413e-01
1,1.00000e+00,1.09084e+00,1.05334e-01,1.26862e-01
1,1.00000e+00,1.44290e+00,1.16819e-01,1.00420e-01
1,1.00000e+00,1.93491e+00,1.99115e-01,1.72923e-01
1,1.00000e+00,2.49493e+00,1.25330e-01,1.01445e-01
1,1.00000e+00,2.90990e+00,1.26524e-01,1.48381e-01
1,1.00000e+00,3.41158e+00,1.21474e-01,1.52963e-01
1,1.00000e+00,3.88862e+00,1.70697e-01,1.90616e-01
1,1.00000e+00,4.35461e+00,1.85045e-01,1.81392e-01
1,1.00000e+00,4.80721e+00,1.65879e-01,1.78015e-01
1,1.00000e+00,3.27798e-01,2.80449e-01,1.97859e-01
1,1.00000e+00,8.89311e-01,2.51002e-01,1.37230e-01
1,1.00000e+00,1.30058e+00,2.89829e-01,1.95238e-01
1,1.00000e+00,1.79305e+00,2.91186e-01,1.97551e-01
1,1.00000e+00,2.27123e+00,2.13064e-01,1.12338e-01
1,1.00000e+00,2.74938e+00,2.81695e-01,1.71431e-01
1,1.00000e+00,3.22255e+00,2.70801e-01,1.34320e-01
1,1.00000e+00,3.67470e+00,2.92732e-01,1.30205e-01
1,1.00000e+00,4.13287e+00,2.31099e-01,1.89565e-01
1,1.00000e+00,4.66662e+00,2.40684e-01,1.78386e-01
1,1.00000e+00,1.83877e-01,3.63473e-01,1.03458e-01
1,1.00000e+00,7.08521e-01,3.15593e-01,1.59030e-01
1,1.00000e+00,1.11297e+00,3.04515e-01,1.43641e-01
1,1.00000e+00,1.60413e+00,3.32359e-01,1.69604e-01
1,1.00000e+00,2.08769e+00,3.49031e-01,1.77395e-01
1,1.00000e+00,2.55808e+00,3.08810e-01,1.77319e-01
1,1.00000e+00,3.10046e+00,3.78132e-01,1.57950e-01
1,1.00000e+00,3.46368e+00,3.89658e-01,1.35638e-01
1,1.00000e+00,3.91520e+00,3.60007e-01,1.53200e-01
1,1.00000e+00,4.40346e+00,3.71798e-01,1.50000e-01
1,1.00000e+00,4.91511e+00,3.23401e-01,1.50100e-01
1,1.00000e+00,4.96548e-01,4.86993e-01,1.84020e-01
1,1.00000e+00,8.38321e-01,4.89419e-01,1.69279e-01
1,1.00000e+00,1.34892e+00,4.81744e-01,1.24216e-01
1,1.00000e+00,1.88890e+00,4.58436e-01,1.66438e-01
1,1.00000e+00,2.31793e+00,4.73727e-01,1.73718e-01
1,1.00000e+00,2.85398e+00,4.89264e-01,1.67020e-01
1,1.00000e+00,3.29424e+00,4.53079e-01,1.98244e-01
1,1.00000e+00,3.70688e+00,4.71036e-01,1.57222e-01
1,1.00000e+00,4.29847e+00,4.93732e-01,1.06575e-01
1,1.00000e+00,4.73886e+00,4.39361e-01,1.76208e-01
1,1.00000e+00,3.18816e-01,5.12728e-01,1.34457e-01
1,1.00000e+00,6.62663e-01,5.58092e-01,1.85974e-01
1,1.00000e+00,1.12665e+00,5.95853e-01,1.80498e-01
1,1.00000e+00,1.66053e+00,5.02893e-01,1.89237e-01
1,1.00000e+00,2.13400e+00,5.03629e-01,1.29130e-01
1,1.00000e+00,2.61830e+00,5.47822e-01,1.00661e-01
1,1.00000e+00,3.06849e+00,5.49854e-01,1.03765e-01
1,1.00000e+00,3.56708e+00,5.08527e-01,1.22559e-01
1,1.00000e+00,4.08283e+00,5.04582e-01,1.28673e-01
1,1.00000e+00,4.59783e+00,5.25999e-01,1.22665e-01
1,1.00000e+00,7.65423e-02,6.90616e-01,1.82542e-01
1,1.00000e+00,4.98946e-01,6.65773e-01,1.11140e-01
1,1.00000e+00,9.50974e-01,6.44027e-01,1.60062e-01
1,1.00000e+00,1.43256e+00,6.73012e-01,1.95796e-01
1,1.00000e+00,1.96635e+00,6.65330e-01,1.02132e-01
1,1.00000e+00,2.42270e+00,6.99760e-01,1.24904e-01
1,1.00000e+00,2.80852e+00,6.95183e-01,1.15663e-01
1,1.00000e+00,3.34053e+00,6.87036e-01,1.31272e-01
1,1.00000e+00,3.82544e+00,6.71635e-01,1.31882e-01
1,1.00000e+00,4.34331e+00,6.18492e-01,1.72836e-01
1,1.00000e+00,4.81579e+00,6.51149e-01,1.31046e-01
1,1.00000e+00,2.54221e-01,7.75252e-01,1.60309e-01
1,1.00000e+00,7.86650e-01,7.67193e-01,1.88708e-01
1,1.00000e+00,1.23326e+00,7.16164e-01,1.08966e-01
1,1.00000e+00,1.74780e+00,7.92344e-01,1.78480e-01
1,1.00000e+00,2.30773e+00,7.24767e-01,1.78536e-01
1,1.00000e+00,2.65342e+00,7.85895e-01,1.61885e-01
1,1.00000e+00,3.18596e+00,7.82574e-01,1.67815e-01
1,1.00000e+00,3.67476e+00,8.00281e-01,1.27352e-01
1,1.00000e+00,4.13723e+00,7.49138e-01,1.33525e-01
1,1.00000e+00,4.69654e+00,7.90060e-01,1.80634e-01
1,1.00000e+00,1.26172e-01,8.90859e-01,1.51123e-01
1,1.00000e+00,5.48042e-01,8.21788e-01,1.69294e-01
1,1.00000e+00,1.05314e+00,8.11636e-01,1.02791e-01
1,1.00000e+00,1.56245e+00,8.06644e-01,1.74533e-01
1,1.00000e+00,2.01722e+00,8.82120e-01,1.90337e-01
1,1.00000e+00,2.41249e+00,8.90918e-01,1.02177e-01
1,1.00000e+00,2.93011e+00,8.84155e-01,1.71041e-01
1,1.00000e+00,3.40900e+00,8.70870e-01,1.18615e-01
1,1.00000e+00,3.91385e+00,8.02669e-01,1.42612e-01
1,1.00000e+00,4.45355e+00,8.10469e-01,1.62217e-01
1,1.00000e+00,4.88523e+00,8.79575e-01,1.75464e-01
1,1.00000e+00,3.77991e-01,1.01146e+00,1.78885e-01
